Estructura de generación (MW)

Hora,Eólica,Nuclear,Carbón,Ciclo combinado,Hidráulica,Intercambios int,Solar fotovoltaica,Solar térmica,Térmica renovable,Motores diésel,Turbina de gas,Turbina de vapor,Generación auxiliar,Cogeneración y residuos
"2023-03-07 20:45","14879","7068","510","4990","6344","-1226","37","29","512","370","240","230","0","2414",
"2023-03-07 20:50","14875","7067","510","5128","6352","-1454","36","28","512","373","236","244","0","2429",
"2023-03-07 20:55","14854","7071","501","5161","6258","-1366","36","28","512","372","232","254","0","2426",
"2023-03-07 21:00","14878","7068","502","5191","6201","-1612","36","28","512","374","234","254","0","2428",
"2023-03-07 21:05","14952","7071","499","5373","6183","-1986","36","28","510","383","226","254","0","2428",
"2023-03-07 21:10","14945","7062","498","5453","5941","-1945","36","29","510","384","218","254","0","2428",
"2023-03-07 21:15","14919","7065","499","5466","6033","-1969","36","29","510","383","219","254","0","2415",
"2023-03-07 21:20","14955","7074","506","5483","5850","-1917","36","29","510","383","218","253","0","2415",
"2023-03-07 21:25","14980","7074","499","5467","5738","-2008","36","26","510","380","219","250","0","2416",
"2023-03-07 21:30","15046","7074","500","5343","5516","-1873","22","0","510","376","217","249","0","2417",
"2023-03-07 21:35","15037","7069","498","5156","5369","-1869","23","0","510","373","217","249","0","2412",
"2023-03-07 21:40","15073","7075","507","4978","5275","-1920","23","0","510","376","210","250","0","2412",
"2023-03-07 21:45","15174","7075","499","4830","5020","-2034","22","0","510","377","207","250","0","2408",
"2023-03-07 21:50","15258","7071","500","4821","4648","-1930","22","0","510","379","202","250","0","2406",
"2023-03-07 21:55","15289","7072","499","4562","4355","-1809","22","0","510","376","200","249","0","2412",
"2023-03-07 22:00","15432","7074","487","4494","4304","-2200","22","0","510","377","204","250","0","2410",
"2023-03-07 22:05","15460","7068","479","4476","4502","-2587","22","0","486","377","197","250","0","2412",
"2023-03-07 22:10","15531","7071","480","4477","4641","-2957","22","0","486","377","186","250","0","2410",
"2023-03-07 22:15","15587","7072","482","4341","4546","-2905","22","0","486","375","181","250","0","2406",
"2023-03-07 22:20","15605","7069","480","4363","4289","-2917","22","0","486","374","164","250","0","2395",
"2023-03-07 22:25","15693","7069","490","4220","4059","-3137","22","0","486","381","143","250","0","2384",
"2023-03-07 22:30","15720","7072","476","3996","4048","-3083","22","0","486","379","138","244","0","2384",
"2023-03-07 22:35","15782","7064","464","4024","3773","-3040","22","0","486","375","132","230","0","2389",
"2023-03-07 22:40","15728","7071","459","3945","3609","-2957","22","0","486","373","126","215","0","2386",
"2023-03-07 22:45","15680","7069","461","3841","3533","-2886","22","0","486","368","122","202","0","2382",
"2023-03-07 22:50","15640","7073","460","3742","3276","-2994","22","0","486","364","120","197","0","2382",
"2023-03-07 22:55","15592","7075","461","3435","3197","-2963","22","0","486","361","121","192","0","2382",
"2023-03-07 23:00","15721","7078","464","3313","3094","-3192","22","0","486","358","120","188","0","2382",
"2023-03-07 23:05","15752","7070","464","3598","2679","-3204","22","0","483","354","118","183","0","2359",
"2023-03-07 23:10","15686","7072","466","3603","2537","-3290","22","0","483","349","101","181","0","2354",
"2023-03-07 23:15","15627","7069","466","3571","2289","-3273","22","0","483","346","87","181","0","2347",
"2023-03-07 23:20","15703","7073","468","3421","2230","-3528","22","0","483","342","79","183","0","2351",
"2023-03-07 23:25","15747","7073","465","3221","2097","-3484","22","0","483","336","72","183","0","2355",
"2023-03-07 23:30","15783","7076","461","3063","2078","-3356","22","0","483","332","70","178","0","2344",
"2023-03-07 23:35","15817","7073","462","2981","1950","-3520","22","0","483","328","70","172","0","2342",
"2023-03-07 23:40","15859","7076","462","2908","1721","-3453","22","0","483","323","62","171","0","2331",
"2023-03-07 23:45","15872","7076","463","2732","1521","-3362","22","0","483","318","58","172","0","2336",
"2023-03-07 23:50","15828","7072","463","2928","1075","-3309","22","0","483","318","55","172","0","2310",
"2023-03-07 23:55","15678","7075","467","2929","796","-3029","22","0","483","314","52","173","0","2324",
"2023-03-08 00:00","15620","7077","474","3000","516","-2995","22","0","483","311","52","173","0","2309",
"2023-03-08 00:05","15701","7072","503","3169","1052","-3574","22","0","468","303","55","173","0","2291",
"2023-03-08 00:10","15684","7070","524","3185","963","-3532","22","0","468","292","50","172","0","2288",
"2023-03-08 00:15","15579","7070","525","3204","963","-3555","22","0","468","278","48","173","0","2286",
"2023-03-08 00:20","15526","7080","526","3164","964","-3634","22","1","468","261","48","172","0","2277",
"2023-03-08 00:25","15664","7071","520","3120","919","-3549","22","1","468","254","49","168","0","2287",
"2023-03-08 00:30","15641","7075","519","3021","930","-3874","22","1","468","249","48","163","0","2287",
"2023-03-08 00:35","15734","7074","516","2808","877","-3656","22","1","468","240","48","162","0","2277",
"2023-03-08 00:40","15611","7075","507","2567","821","-3697","22","1","468","239","48","158","0","2285",
"2023-03-08 00:45","15611","7073","479","2521","846","-3666","12","1","468","236","47","156","0","2283",
"2023-03-08 00:50","15603","7079","481","2534","835","-3631","12","1","468","234","48","156","0","2282",
"2023-03-08 00:55","15620","7079","479","2471","849","-3800","11","1","468","230","46","152","0","2283",
"2023-03-08 01:00","15551","7079","478","2471","878","-3833","12","1","468","229","46","148","0","2274",
"2023-03-08 01:05","15566","7078","496","2530","704","-4187","12","1","464","230","45","148","0","2270",
"2023-03-08 01:10","15540","7074","518","2547","593","-4037","11","1","464","234","40","149","0","2245",
"2023-03-08 01:15","15428","7080","515","2546","560","-4247","12","1","464","239","34","149","0","2233",
"2023-03-08 01:20","15376","7083","500","2580","504","-3952","12","1","464","236","35","149","0","2235",
"2023-03-08 01:25","15259","7079","497","2633","452","-4124","12","1","464","233","35","148","0","2223",
"2023-03-08 01:30","15212","7081","494","2622","367","-4232","11","1","464","232","35","143","0","2215",
"2023-03-08 01:35","15257","7084","501","2626","358","-4102","11","1","464","231","34","139","0","2210",
"2023-03-08 01:40","15264","7085","505","2596","315","-4123","11","1","464","230","34","134","0","2214",
"2023-03-08 01:45","15336","7084","506","2517","286","-4271","11","1","464","229","35","129","0","2210",
"2023-03-08 01:50","15363","7080","509","2485","311","-4336","11","1","464","228","34","128","0","2211",
"2023-03-08 01:55","15335","7080","519","2460","267","-4414","12","1","464","226","35","128","0","2210",
"2023-03-08 02:00","15333","7078","511","2512","112","-4247","11","1","464","225","35","128","0","2212",
"2023-03-08 02:05","15431","7083","510","2611","-191","-4212","12","1","466","223","35","125","0","2209",
"2023-03-08 02:10","15371","7081","505","2729","-474","-4142","12","1","466","223","35","123","0","2196",
"2023-03-08 02:15","15250","7082","502","2676","-543","-4108","12","1","466","223","34","122","0","2209",
"2023-03-08 02:20","15146","7085","505","2570","-718","-3942","12","1","466","222","34","123","0","2211",
"2023-03-08 02:25","15102","7085","503","2474","-782","-3716","11","1","466","219","33","123","0","2216",
"2023-03-08 02:30","15075","7079","500","2501","-746","-3680","11","1","466","218","34","123","0","2210",
"2023-03-08 02:35","15095","7081","500","2527","-706","-3776","11","1","466","219","34","123","0","2205",
"2023-03-08 02:40","15028","7082","491","2501","-680","-3664","11","1","466","217","33","123","0","2206",
"2023-03-08 02:45","14959","7079","481","2364","-712","-3715","11","1","466","216","33","123","0","2201",
"2023-03-08 02:50","14937","7086","479","2383","-687","-3537","11","1","466","217","33","123","0","2196",
"2023-03-08 02:55","14980","7083","476","2411","-660","-3738","11","1","466","217","33","123","0","2186",
"2023-03-08 03:00","14979","7086","474","2400","-643","-4023","12","1","466","214","33","123","0","2186",
