Estructura de generación (MW)

Hora,Eólica,Nuclear,Carbón,Ciclo combinado,Hidráulica,Intercambios int,Solar fotovoltaica,Solar térmica,Térmica renovable,Motores diésel,Turbina de gas,Turbina de vapor,Generación auxiliar,Cogeneración y residuos
"2022-09-25 20:25","10305","6355","966","6433","3198","-3442","34","419","502","344","280","140","3","1388",
"2022-09-25 20:30","10308","6349","970","6501","3293","-3588","31","399","492","349","280","140","3","1392",
"2022-09-25 20:35","10328","6339","969","6532","3400","-3431","31","378","492","354","283","139","3","1418",
"2022-09-25 20:40","10336","6327","976","6505","3491","-3275","31","363","492","357","282","139","3","1434",
"2022-09-25 20:45","10262","6315","993","6542","3579","-3307","32","357","492","360","283","140","3","1451",
"2022-09-25 20:50","10200","6312","1007","6801","3616","-3552","31","348","492","361","283","140","3","1449",
"2022-09-25 20:55","10147","6301","1008","6839","3607","-3473","28","329","492","359","286","140","3","1453",
"2022-09-25 21:00","10066","6286","1001","6792","3626","-3333","28","322","492","364","290","140","3","1455",
"2022-09-25 21:05","10049","6272","992","6627","3931","-3345","27","323","509","364","289","140","3","1453",
"2022-09-25 21:10","10080","6268","987","6515","3860","-3246","28","322","509","363","290","140","3","1451",
"2022-09-25 21:15","10079","6254","981","6488","3804","-3185","27","318","509","367","287","141","3","1452",
"2022-09-25 21:20","10109","6248","982","6360","3775","-3161","27","317","509","357","284","143","3","1459",
"2022-09-25 21:25","10093","6236","981","6391","3829","-3151","27","318","509","356","284","146","3","1462",
"2022-09-25 21:30","10075","6225","981","6357","3785","-3084","27","318","509","357","284","149","3","1456",
"2022-09-25 21:35","10118","6212","980","6384","3827","-3278","27","318","509","354","279","153","2","1453",
"2022-09-25 21:40","10145","6203","980","6282","3667","-3163","27","318","509","356","273","156","2","1454",
"2022-09-25 21:45","10125","6199","982","6202","3492","-3068","25","317","509","351","264","157","2","1457",
"2022-09-25 21:50","10168","6186","979","6110","3551","-3138","25","317","509","353","265","156","2","1452",
"2022-09-25 21:55","10122","6178","979","6053","3480","-3133","25","317","509","355","264","157","2","1444",
"2022-09-25 22:00","10148","6168","980","6149","3503","-3467","25","317","509","351","264","159","2","1444",
"2022-09-25 22:05","10137","6155","979","6351","3518","-3930","25","316","499","349","262","157","2","1441",
"2022-09-25 22:10","10117","6140","984","6305","3632","-3863","25","315","499","353","264","156","2","1436",
"2022-09-25 22:15","10077","6133","986","6303","3553","-3786","25","313","499","348","262","157","2","1441",
"2022-09-25 22:20","10137","6126","989","6191","3409","-3874","25","305","499","347","264","157","2","1438",
"2022-09-25 22:25","10091","6117","981","6111","3240","-3706","25","305","499","345","262","156","2","1442",
"2022-09-25 22:30","10092","6107","978","6051","3202","-3774","25","304","499","342","262","156","2","1435",
"2022-09-25 22:35","10046","6104","965","5825","3130","-3607","25","303","499","339","263","158","2","1438",
"2022-09-25 22:40","10038","6086","961","5643","3270","-3784","25","302","499","339","262","157","2","1438",
"2022-09-25 22:45","10162","6082","960","5537","3055","-3850","25","302","499","337","261","157","2","1438",
"2022-09-25 22:50","10018","6071","960","5355","3210","-3771","25","300","499","335","254","156","2","1436",
"2022-09-25 22:55","10008","6058","961","5258","3151","-3724","9","284","499","336","247","156","2","1432",
"2022-09-25 23:00","10015","6043","960","5275","3197","-3816","9","279","499","336","245","156","2","1433",
"2022-09-25 23:05","10052","6036","959","5803","2966","-4236","9","283","470","334","244","155","2","1435",
"2022-09-25 23:10","9998","6024","957","6163","2824","-4452","8","281","470","332","248","157","2","1426",
"2022-09-25 23:15","10054","6016","960","6091","2386","-4217","8","274","470","326","248","157","2","1429",
"2022-09-25 23:20","10088","6005","957","6029","2346","-4357","7","263","470","309","247","154","2","1435",
"2022-09-25 23:25","10187","5996","959","5961","2252","-4408","7","258","470","312","239","146","2","1435",
"2022-09-25 23:30","10262","5996","962","5869","2237","-4499","8","247","470","315","235","139","2","1435",
"2022-09-25 23:35","10217","5997","960","5781","2249","-4385","7","239","470","308","241","135","2","1432",
"2022-09-25 23:40","10201","5998","960","5582","2108","-4378","7","238","470","303","239","132","2","1430",
"2022-09-25 23:45","10167","5999","960","5464","2040","-4212","7","238","470","297","236","130","2","1439",
"2022-09-25 23:50","10090","6000","959","5473","2097","-4173","7","238","470","298","238","129","2","1439",
"2022-09-25 23:55","9973","5997","941","5455","2056","-4048","7","239","470","295","240","131","2","1437",
"2022-09-26 00:00","9892","5974","922","5482","2087","-4302","7","239","470","291","239","131","2","1441",
"2022-09-26 00:05","9934","5971","902","5654","2005","-4153","7","245","471","290","236","131","2","1444",
"2022-09-26 00:10","9884","5974","895","5633","1976","-4252","7","246","471","300","211","132","2","1460",
"2022-09-26 00:15","9848","5973","911","5633","1947","-4281","7","246","471","299","195","131","2","1470",
"2022-09-26 00:20","9840","5974","932","5598","1963","-4237","7","249","471","299","193","130","2","1470",
"2022-09-26 00:25","9786","5976","945","5415","1934","-4198","7","249","471","293","192","130","2","1470",
"2022-09-26 00:30","9736","5974","934","5354","1891","-4255","7","249","471","293","193","130","2","1469",
"2022-09-26 00:35","9743","5970","945","5299","1939","-4111","7","249","471","287","192","130","2","1476",
"2022-09-26 00:40","9653","5971","948","5269","1807","-4084","7","248","471","281","187","129","2","1462",
"2022-09-26 00:45","9500","5976","944","5284","1851","-4171","7","245","471","285","171","130","2","1473",
"2022-09-26 00:50","9449","5977","946","5360","1846","-4319","7","238","471","282","157","131","2","1463",
"2022-09-26 00:55","9357","5972","943","5395","1855","-4267","7","238","471","280","156","130","2","1469",
"2022-09-26 01:00","9301","5975","919","5445","1853","-4366","7","237","471","279","149","130","2","1471",
"2022-09-26 01:05","9238","5975","897","5571","1890","-4232","7","239","470","275","119","130","0","1471",
"2022-09-26 01:10","9150","5976","887","5575","1715","-4243","7","242","470","273","96","131","0","1475",
"2022-09-26 01:15","9135","5977","885","5515","1667","-4222","7","242","470","269","93","130","0","1474",
"2022-09-26 01:20","9064","5975","884","5408","1621","-4166","7","247","470","272","90","129","0","1476",
"2022-09-26 01:25","9021","5974","894","5287","1611","-3866","7","247","470","270","91","128","0","1475",
"2022-09-26 01:30","8999","5968","893","5441","1530","-3872","7","247","470","270","83","128","0","1479",
"2022-09-26 01:35","8921","5977","878","5548","1559","-3943","7","247","470","268","85","128","0","1482",
"2022-09-26 01:40","8961","5972","859","5647","1351","-3954","7","247","470","267","87","125","0","1472",
"2022-09-26 01:45","8921","5974","839","5432","1328","-3819","7","247","470","255","84","124","0","1473",
"2022-09-26 01:50","8867","5978","843","5424","1356","-3847","7","242","470","256","80","125","0","1463",
"2022-09-26 01:55","8867","5979","841","5574","1210","-3844","7","242","470","251","81","124","0","1474",
"2022-09-26 02:00","8944","5972","841","5628","1202","-3985","7","241","470","245","79","124","0","1459",
"2022-09-26 02:05","8912","5981","838","5487","1319","-3999","7","241","469","245","79","124","0","1470",
"2022-09-26 02:10","8928","5973","837","5380","1243","-3927","7","235","469","244","76","124","0","1469",
"2022-09-26 02:15","8845","5975","832","5295","1227","-3935","7","226","469","247","76","125","0","1469",
"2022-09-26 02:20","8850","5974","828","5221","1240","-3747","7","209","469","249","75","125","0","1470",
"2022-09-26 02:25","8845","5975","823","5177","1220","-3697","7","196","469","251","77","124","0","1470",
"2022-09-26 02:30","8804","5975","826","5306","1248","-3893","7","189","469","250","77","124","0","1468",
"2022-09-26 02:35","8745","5983","820","5320","1247","-3759","7","181","469","250","76","125","0","1465",
"2022-09-26 02:40","8691","5974","821","5381","1255","-3863","7","176","469","247","76","125","0","1468",
"2022-09-26 02:45","8647","5974","825","5393","1261","-3877","7","169","469","248","78","124","0","1467",
"2022-09-26 02:50","8631","5971","824","5314","1279","-3844","7","159","469","251","77","124","0","1465",
"2022-09-26 02:55","8576","5975","827","5180","1233","-3746","7","158","469","251","76","124","0","1467",
"2022-09-26 03:00","8502","5974","824","5317","1120","-3685","7","159","469","251","74","125","0","1467",
