Estructura de generación (MW)

Hora,Eólica,Nuclear,Carbón,Ciclo combinado,Hidráulica,Intercambios int,Solar fotovoltaica,Solar térmica,Térmica renovable,Motores diésel,Turbina de gas,Turbina de vapor,Generación auxiliar,Cogeneración y residuos
"2024-07-01 20:25","9341","6982","318","3968","2661","-1704","5504","1303","455","311","178","90","-10","1932",
"2024-07-01 20:30","9512","6985","320","4122","2782","-1437","5016","1269","455","315","177","90","-10","1941",
"2024-07-01 20:35","9460","6984","321","4401","2930","-1429","4799","1232","455","316","173","91","-13","1945",
"2024-07-01 20:40","9565","6985","324","4539","3411","-1543","4223","1198","455","313","175","90","-13","1941",
"2024-07-01 20:45","9489","6982","325","4558","3679","-1140","3728","1153","455","314","184","90","-13","1945",
"2024-07-01 20:50","9584","6983","319","4600","4328","-1112","3238","1113","455","314","203","90","70","1943",
"2024-07-01 20:55","9673","6987","325","4545","4840","-1084","2760","1075","455","317","202","90","76","1935",
"2024-07-01 21:00","9586","6983","306","4678","5128","-1101","2306","1034","455","318","214","90","-13","1952",
"2024-07-01 21:05","9487","6984","313","4429","5616","-1009","1842","997","466","322","205","90","-13","1972",
"2024-07-01 21:10","9478","6985","319","4283","5842","-758","1452","962","466","323","200","92","-13","1999",
"2024-07-01 21:15","9496","6985","321","4244","5960","-486","1112","933","466","323","193","91","-13","2011",
"2024-07-01 21:20","9511","6990","319","4328","6291","-326","830","905","466","322","191","91","-13","2043",
"2024-07-01 21:25","9468","6985","323","4360","6580","-547","601","889","466","324","196","91","-13","2051",
"2024-07-01 21:30","9442","6983","325","4412","6871","-366","426","865","466","322","193","91","-13","2053",
"2024-07-01 21:35","9371","6990","325","4522","7087","-510","306","840","466","325","192","92","-13","2055",
"2024-07-01 21:40","9404","6988","324","4523","7426","-911","211","818","466","327","189","92","-13","2051",
"2024-07-01 21:45","9357","6990","323","4502","7475","-827","127","795","466","327","182","92","-13","2050",
"2024-07-01 21:50","9472","6987","324","4483","7477","-1003","91","775","466","326","177","92","-13","2055",
"2024-07-01 21:55","9570","6984","323","4523","7486","-923","78","751","466","331","177","92","-13","2051",
"2024-07-01 22:00","9564","6986","324","4549","7508","-1131","75","725","466","330","177","93","-13","2053",
"2024-07-01 22:05","9571","6982","322","5174","7716","-2023","71","718","494","338","167","92","-13","2063",
"2024-07-01 22:10","9538","6986","324","5633","7611","-2370","70","698","494","336","157","93","-13","2065",
"2024-07-01 22:15","9462","6992","323","5702","7556","-2680","70","676","494","340","156","100","-13","2060",
"2024-07-01 22:20","9563","6991","322","5500","7447","-2425","70","665","494","337","152","107","-13","2067",
"2024-07-01 22:25","9601","6992","322","5406","7492","-2524","70","661","494","334","149","112","-13","2068",
"2024-07-01 22:30","9720","6995","321","5315","7293","-2362","69","658","494","332","150","114","72","2070",
"2024-07-01 22:35","9722","6994","322","4991","7362","-2486","53","654","494","338","151","113","-12","2076",
"2024-07-01 22:40","9801","6995","322","4860","7312","-2478","139","653","494","334","153","113","74","2071",
"2024-07-01 22:45","9840","6996","323","4780","7159","-2503","117","649","494","333","150","113","74","2074",
"2024-07-01 22:50","9855","6998","322","4535","6999","-2270","115","644","494","328","149","113","73","2077",
"2024-07-01 22:55","9725","7000","323","4487","6755","-2342","30","641","494","324","148","112","-12","2074",
"2024-07-01 23:00","9792","6998","322","4486","6913","-2756","30","638","494","324","150","112","-12","2077",
"2024-07-01 23:05","9854","6996","322","4649","7457","-3591","116","640","495","319","145","112","74","2076",
"2024-07-01 23:10","9812","6998","322","4718","7450","-3737","31","640","495","314","138","112","-12","2063",
"2024-07-01 23:15","9906","6996","322","4584","7358","-3746","115","642","495","307","136","112","73","2062",
"2024-07-01 23:20","9815","6997","322","4306","7391","-3843","31","644","495","303","137","112","-11","2064",
"2024-07-01 23:25","9858","6997","322","4263","7328","-4005","31","643","495","302","136","112","-11","2065",
"2024-07-01 23:30","9927","6998","322","4241","7130","-3853","29","643","495","298","124","112","-11","2069",
"2024-07-01 23:35","9981","6998","323","3956","7143","-3940","30","642","495","300","103","114","-11","2074",
"2024-07-01 23:40","9976","7003","322","3884","7081","-3874","28","641","495","295","100","112","-11","2066",
"2024-07-01 23:45","9984","7003","322","3854","6840","-3873","29","641","495","289","100","112","-11","2053",
"2024-07-01 23:50","9958","6998","322","3658","6584","-3648","29","639","495","284","101","112","-11","2078",
"2024-07-01 23:55","9949","7007","323","3646","6348","-3732","28","637","495","285","94","113","-11","2023",
"2024-07-02 00:00","9948","7013","321","3623","5439","-2983","25","635","495","279","89","112","-10","2008",
"2024-07-02 00:05","9527","7010","323","3283","4821","-1299","25","637","475","282","77","114","-10","1980",
"2024-07-02 00:10","9507","7005","323","3115","4871","-996","25","637","475","277","75","113","-10","1956",
"2024-07-02 00:15","9585","7012","321","2828","4951","-928","26","637","475","274","76","112","-10","1956",
"2024-07-02 00:20","9647","7012","323","2665","5067","-962","25","640","475","274","75","113","-10","1955",
"2024-07-02 00:25","9703","7014","325","2521","5058","-1079","108","641","475","277","75","111","73","1950",
"2024-07-02 00:30","9712","7013","324","2488","4902","-910","108","641","475","280","73","112","74","1951",
"2024-07-02 00:35","9714","7013","323","2485","4935","-1158","25","641","475","271","74","113","-9","1941",
"2024-07-02 00:40","9745","7013","322","2460","4885","-1194","25","641","475","271","74","112","-9","1935",
"2024-07-02 00:45","9784","7010","323","2383","4684","-1267","25","642","475","268","73","111","-9","1926",
"2024-07-02 00:50","9914","7016","322","2345","4453","-1355","107","643","475","259","73","108","73","1923",
"2024-07-02 00:55","9768","7017","322","2327","4220","-1144","26","644","475","256","71","102","-9","1917",
"2024-07-02 01:00","9803","7018","324","2361","3993","-1091","108","644","475","258","75","96","73","1907",
"2024-07-02 01:05","9623","7013","324","2531","3793","-827","26","644","456","273","61","93","-9","1855",
"2024-07-02 01:10","9662","7017","322","2551","3827","-993","108","645","456","255","55","92","73","1837",
"2024-07-02 01:15","9578","7015","322","2532","3764","-1016","107","644","456","247","55","92","73","1836",
"2024-07-02 01:20","9500","7024","324","2659","3388","-733","26","645","456","245","52","92","-8","1832",
"2024-07-02 01:25","9517","7019","324","2618","3428","-740","26","644","456","245","46","91","-8","1826",
"2024-07-02 01:30","9487","7022","323","2548","3425","-838","26","644","456","245","44","92","-8","1823",
"2024-07-02 01:35","9449","7020","323","2477","3478","-728","26","645","456","243","38","91","-8","1817",
"2024-07-02 01:40","9404","7019","323","2447","3535","-874","26","645","456","249","36","91","-8","1819",
"2024-07-02 01:45","9398","7021","323","2413","3521","-994","107","645","456","246","35","91","73","1852",
"2024-07-02 01:50","9455","7019","325","2400","3446","-1124","108","644","456","244","35","91","73","1814",
"2024-07-02 01:55","9298","7019","323","2419","3353","-974","27","640","456","246","35","91","-8","1818",
"2024-07-02 02:00","9277","7021","323","2489","3314","-1083","27","642","456","243","38","91","-8","1819",
"2024-07-02 02:05","9284","7017","322","2450","3428","-1126","27","643","454","244","40","91","-8","1791",
"2024-07-02 02:10","9219","7021","323","2444","3460","-1172","27","640","454","238","35","91","-8","1781",
"2024-07-02 02:15","9211","7019","322","2384","3420","-1078","27","639","454","231","35","91","-8","1778",
"2024-07-02 02:20","9173","7022","323","2420","3291","-1011","27","640","454","230","36","91","-8","1778",
"2024-07-02 02:25","9213","7018","323","2490","3136","-913","27","642","454","228","36","91","-8","1768",
"2024-07-02 02:30","9161","7017","323","2569","3102","-1081","27","642","454","229","36","91","-8","1770",
"2024-07-02 02:35","9064","7023","323","2597","3113","-1149","27","641","454","229","35","91","-8","1770",
"2024-07-02 02:40","9002","7027","323","2566","3098","-1239","27","642","454","225","36","91","-8","1770",
"2024-07-02 02:45","8949","7021","323","2535","2998","-1080","27","642","454","225","36","91","-8","1771",
"2024-07-02 02:50","8886","7025","323","2509","3040","-1010","27","642","454","232","35","91","-8","1772",
"2024-07-02 02:55","8779","7020","323","2377","2881","-553","27","641","454","230","36","91","-7","1771",
"2024-07-02 03:00","8831","7021","323","2408","2904","-653","27","641","454","231","35","91","-7","1776",
